Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Square Footage,Contract Expiration,Recent Post,Determine research guidelines 3157(preview) - 01be130a-6e0c-4099-bd38-2676b4705692,Occupancy Type,Qualified,Move-In State,Rent/SF/year,Square FT,Rent Type,Moved In,Local Address,SIC,Move-In Type,Landlord,Account Holder,Step 1,Annual KWh Usage,% Of Building,Move In Date,Electricity Supplier,Yearly Usage,Signing Date,Step 2,Move-In City,Decision Maker,DM,Account Salesforce ID
Davis Metal Stamping Inc,Davis Metal Stamping,Cold,"Ultra Enriched Leads, power choosers",24,machinery,lpatterson@claritypower.org,http://www.davismetal.com,http://www.linkedin.com/company/davis-metal-stamping-inc,"","",620 Fabrication Street,Dallas,Texas,United States,75212,"620 Fabrication Street, Dallas, Texas, United States, 75212","laser cutting, shearing, stamping, welding, forming, machining, design, machinery manufacturing, architectural metals, manufacturing, prototyping, large format shearing, metal stamping, industrial project fabrication, metal assembly, art installation fabrication, custom metal products, prototype development, metal forming, artistic metal fabrication, metal project consulting, large-scale manufacturing, small batch production, metal welding, coil slitting, custom metal parts, precision sheet metal, arc welding, construction, dallas tx, art & design, artistic metalwork, cnc machining, progressive die stamping, specialized welding techniques, metal prototypes, metal fabrication, 3d cad design, oil & gas, metal product development, design services, precision metal manufacturing, industrial manufacturing, mig tig welding, 3d modeling, oil & gas industry, multi-axis cnc turning, high tolerance laser cutting, quality control, custom industrial parts, custom metal assembly, precision shearing, large format laser cutting, metal design, metal sheet processing, metalworking equipment, structural steel components, metal forming software, metal machining, metal design modeling, structural metal fabrication, b2b, consulting, services, mechanical or industrial engineering, machinery, oil & energy",'+1 214-742-2504,"Outlook, Microsoft Office 365, Gravity Forms, WordPress.org, Google Font API, Google Tag Manager, Mobile Friendly, Typekit, reCAPTCHA, Remote, Splunk, Sisense, Domo","","","","","","",6819fb7627d3bd00010c56f9,3441,"Davis Metal Stamping Inc is a machinery company based out of 620 Fabrication St, Dallas, Texas, United States.",1957,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6889dce4f0e63a00013bad50/picture,"","","","","","","","","",Leased,"",TX,"","63,017","",Oct 2021,256 Regal Row,Fabricated Metal Products - 3499,"","","","","",80.0%,"","","","","",Dallas,"","",""
Liberty Packaging,Liberty Packaging,Cold,"Fort Worth Locations, Ultra Enriched Leads, power choosers, Out Of Texas Accounts",48,packaging & containers,lpatterson@claritypower.org,http://www.libertypackaginginc.com,http://www.linkedin.com/company/libertypackaginginc,https://facebook.com/libertycarton,https://twitter.com/libertycarton,705 Pennsylvania Ave S,Golden Valley,Minnesota,United States,55426,"705 Pennsylvania Ave S, Golden Valley, Minnesota, United States, 55426","corrugated packaging solutions, jumbo packaging, digital, high graphics printing, protective packaging, innovation, design, sustainable, warehousing, distribution, packaging & containers manufacturing, customer portal, transition management, real-time reporting, certifications, continuous improvement, waste reduction, logistics optimization, logistics and distribution, supply chain solutions, performance testing, data systems integration, manufacturing efficiency, trial protocols, environmental compliance, supply chain management, sustainable packaging, state-of-the-art manufacturing, packaging transition process, kitting and assembly, design and innovation, recycled materials, lean principles, manufacturing, quality standards, performance improvement, environmentally friendly coatings, environmental testing protocols, data analysis, e-commerce packaging, cost-effective solutions, packaging innovation, packaging and containers, point-of-purchase displays, automation, environmental sustainability, corrugated packaging, product design, edi systems, customized service models, custom packaging, inventory management, warehouse and distribution, b2b, e-commerce, consulting, services, retail, shipping, logistics & supply chain, mechanical or industrial engineering, data analytics, packaging & containers, consumer internet, consumers, internet, information technology & services","",Outlook,"","","","","","",684ced9fb0feb10001d42bb9,2672,"With over 100 years of experience, Liberty Packaging has earned a reputation for reliability, quality, and customer-centric service. Our extensive history and commitment to continuous improvement, paired with our dedication to sustainability, make us the ideal strategic partner for businesses seeking to elevate their packaging.

At Liberty Packaging, we are proud to offer solutions made from 100% recycled materials, reflecting our deep commitment to sustainability and environmental responsibility. With 11 converting sites and a paper mill, our operations span across the U.S. and Mexico, ensuring we can meet the diverse needs of our clients wherever they are located. 

As a strategic partner, we don't just deliver packaging, we actively collaborate with our clients to understand their unique business needs. By fostering long-term relationships, we ensure every package is designed with precision, durability, and functionality to help streamline packaging processes, enhance product presentation, and ultimately drive greater customer satisfaction.

Innovation is at the heart of everything we do. From cutting-edge design techniques to pioneering new materials and manufacturing processes, Liberty Packaging continually strives to push the boundaries of what's possible in corrugated packaging. We understand that packaging is not just about protection—it's about creating an impactful brand experience that resonates with your customers.

",1918,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a4a62f98d0260001ae40bd/picture,"","","","","","","","","",Leased,"",TX,"","110,220","",Nov 2009,10410 Papalote St,Corrugated Boxes - 2653,"","Prologis, Inc.","","","",43.5%,Aug 2022,"","",Nov 2009,"",Houston,"","",""
HealthFirst Medical Group,HealthFirst Medical Group,Cold,"Fort Worth Locations, Ultra Enriched Leads, Out Of Texas Accounts, power choosers",43,medical practice,lpatterson@claritypower.org,http://www.healthfirsttexas.com,http://www.linkedin.com/company/healthfirst-medical-group,"","","",Duson,Louisiana,United States,"","Duson, Louisiana, United States","medical practices, award-winning hospitals, healthcare awards, nonprofit health system, dallas-fort worth hospitals, blue zones community health, healthcare innovation, spiritual care, patient safety, fortune 100 best companies, virtual care, community wellness, community health, patient safety awards, mychart portal, community health partnerships, healthcare quality awards, healthcare risk management, community health improvement, health system leadership, healthcare services, community programs, patient-centered care, specialty services, hospital network, hospital rankings, healthcare workforce, urgent care, healthcare, outpatient facilities, community engagement, quality rankings, care coordination, spiritual health integration, faith-based organization, holistic health approach, blue zones project, health assessments, preventive health, primary care, home health services, patient education, b2c, non-profit, services, hospital & health care, health care, health, wellness & fitness, nonprofit organization management","","","","","","","","",684d604c7d7d6c00016b2653,8062,Healthfirst Medical Group is a medical practice company based out of United States.,"",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67019245ed3937000130e663/picture,"","","","","","","","","",Leased,"",TX,"","9,121","",Feb 2007,7630 N Beach St,Medical Doctor - 8011,"","Larry Bell, SouthCoast Commercial, LLC","","","",29.9%,Feb 2007,"","","","",Fort Worth,"","",""
Firstline Manufacturing Corp.,Firstline Manufacturing,Cold,"Ultra Enriched Leads, power choosers",32,apparel & fashion,lpatterson@claritypower.org,http://www.firstlinebrands.com,http://www.linkedin.com/company/firstline-brands,https://www.facebook.com/FirstlineBrands/,https://twitter.com/firstlinebrands,"","","","","","","retail apparel & fashion, combs, multicultural hair, hair care for active lifestyles, haircare, hair accessories, fashion-conscious hair accessories, multicultural haircare, hair care for men and women, styling accessories, hair care for diverse textures, high-quality hair tools, hair health and styling, trendsetting hair accessories, hair styling and maintenance, hairbrushes and combs, active headwear, headwear, coily hair products, consumer goods, hair styling products, professional hair tools, satin sleep caps, affordable hair products, retail, multicultural hair solutions, curly hair care, hair maintenance essentials, hair health products, affordable hair styling, fashion headwear, hair styling solutions, trend-focused products, activewear for hair, beauty and personal care, sleep caps, children's hair accessories, hairbrushes, maintenance caps, hair caps, trendsetting hair products, b2c, e-commerce, d2c, consumers, consumer internet, internet, information technology & services",'+1 800-724-7312,"Outlook, Microsoft Office 365, Google Maps, Shopify, Google Places, Mobile Friendly, Facebook Custom Audiences, Facebook Login (Connect), Facebook Widget, AI, Remote","","","","","","",68523c6ff2f1570001381c8a,2844,"Firstline is one of the few minority-owned companies that specializes in marketing and distributing affordably priced, high-quality hair accessory items that improve the image and appearance of the multi-ethnic consumer.",1990,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a485837777820001d4a0e3/picture,"","","","","","","","","",Leased,"",TX,"","51,000","",Feb 2019,13023 Trinity St,"","",Firstline Manufacturing Corp.,"","","",100%,"","","","","",Stafford,"","",""
"Additech, Inc.",Additech,Cold,"Ultra Enriched Leads, power choosers",38,automotive,lpatterson@claritypower.org,http://www.additech.com,http://www.linkedin.com/company/additech,http://www.facebook.com/Additech,http://www.twitter.com/additech,"","","","","","","auto maintenance, automotive fuel system cleaners, remote monitoring, merchandising at the pump, automotive, motor vehicle manufacturing, dual detergency protection, fuel economy enhancement, fuel additive technology, at-the-pump dispensing, fuel additive blending, fuel system performance, fuel injector flow improvement, fuel system deposit control, fuel dispenser equipment manufacturing, fuel injector cleaning, automotive fuel systems, fuel system maintenance solutions, engine deposit cleaning, fuel additive concentration, fuel additive safety, fuel system protection, fuel additive manufacturing, at-pump blending technology, engine performance, engine knock reduction, fuel efficiency, fuel station equipment, fuel system longevity, engine cleaning technology, fuel system protection chemistry, fuel additive safety certification, fuel additive delivery system, fuel system cleaning, fuel system cleaning performance, carbon deposit removal, fuel system maintenance, fuel system cleaner, gdi engine deposit prevention, fuel injector protection, fuel additive blending system, fuel additive dispenser, b2b, services, retail",'+1 800-243-2941,"Mimecast, Microsoft Office 365, Google Tag Manager, Typekit, Google Analytics, Remote",16900000,Venture (Round not Specified),4600000,2010-08-14,26087000,"",68523c70f2f1570001381d0e,3711,"""At Additech, we provide innovative fuel additives and above-ground DEF dispenser solutions to enhance engine performance, improve fuel efficiency, and reduce emissions. Our mission is to deliver convenient, high-quality products that keep vehicles running cleaner and longer. Through advanced technology and customer-focused service, we make it easier for drivers and businesses to maintain their engines and meet environmental standards, all while offering reliable and accessible solutions at the pump.""",1989,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a5db8493c1450001a04aa0/picture,"","","","","","","","","",Leased,"",TX,$5.52 - 6.72,"6,200",Asking Rent,Oct 2013,13220 Murphy Rd,"","",Bearden Investments,"","","",31.3%,"","","",Sep 2013,"",Stafford,"","",""
LW Flooring,LW Flooring,Cold,"Ultra Enriched Leads, Out Of Texas Accounts, power choosers",27,building materials,lpatterson@claritypower.org,http://www.lwflooring.com,http://www.linkedin.com/company/lifetimelw,https://www.facebook.com/lifetimelw,https://twitter.com/flooring_lw,5860 NW 39th Ave,Gainesville,Florida,United States,32606,"5860 NW 39th Ave, Gainesville, Florida, United States, 32606","wholesale building materials, premium veneer, natural wood visuals, custom wood styles, authorized retailer, premium sawn veneer, laminate flooring, flooring catalog, flooring styles, long-lasting durability, european oak, custom installation, flooring warranty, installation gallery, heritage style floors, adhesive & primer, wide plank flooring, floor visualizer, flooring display, modern wood finishes, engineered hardwood, authentic wood textures, flooring images, rustic wood visuals, lifetime warranty, flooring collections, flooring policies, high traffic flooring, lively wood accents, wire-brushed finish, flooring manufacturing, warranty policies, timeless design, groundbreaking movements, flooring accessories, coastal theme flooring, wood species, building materials, waterproof flooring, vinyl plank, durable flooring, waterproof protection, underlayment, b2b, services, retail",'+1 888-460-1165,"Route 53, Gmail, Google Apps, Amazon AWS, reCAPTCHA, Mobile Friendly, Google Tag Manager, Apache, Woo Commerce, WordPress.org, Google Font API, Remote","","","","",10602000,"",685480546885a6000113519a,1752,Providing retailers with top-quality flooring and a vast inventory. LW Flooring is committed to supplying retailers with the best flooring and technology for their customers. https://www.lwflooring.com/,2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68925e46c754f10001c2a9a6/picture,"","","","","","","","","",Leased,"",TX,$4.40 (Est.),"20,000",Starting Rent,Dec 2020,4647 Pine Timbers St,Floor Laying And Work - 1752,"","Ares Management Corporation, Link Logistics Real Estate","","","",13.9%,"","","",Sep 2020,"",Houston,"","",""
Electronic Custom Distributors,Electronic Custom Distributors,Cold,"Ultra Enriched Leads, power choosers, LinkedIn Enriched Ads",22,consumer electronics,lpatterson@claritypower.org,http://www.ecdcom.com,http://www.linkedin.com/company/electronic-custom-distributors,https://facebook.com/ElectronicCustomDistributors,https://twitter.com/ECDHOUSTON,4747 Westpark Dr,Houston,Texas,United States,77027,"4747 Westpark Dr, Houston, Texas, United States, 77027","electronics, wholesale, speakers, wire, cable, customer service, security, digital signage displays, security systems, home av, network patch panels, vendor partnerships, media converters, product availability, video displays, rack systems, audio/video wall mounting, network hardware, telecommunication, networking, audio equipment, control systems, digital signage hardware, pro av distribution, electronic hardware, security and surveillance hardware, wire management, wireless, custom installation, wholesale trade, digital signage, industry experience, security and surveillance equipment manufacturing, cabling accessories, installation solutions, audio, product sourcing, custom av solutions, mounts, power supplies, family business, fiber optic products, wire management accessories, automation, access control, power and surge protection, hdmi and fiber converters, cabling, access control systems, surveillance cameras, in-stock items, dealer program, pro av, connectors, product inventory, product distribution, surveillance, fiber optics, mounting hardware, structured wiring, distribution, control system components, video, electrical equipment, appliance, and component manufacturing, power management, b2b, e-commerce, services, computer hardware, hardware, telecommunications, consumer internet, consumers, internet, information technology & services",'+1 713-525-3206,"Cloudflare DNS, Amazon SES, Outlook, Microsoft Office 365, Amazon AWS, Google Font API, Google Analytics, GoToWebinar, DoubleClick Conversion, Apache, Google Tag Manager, Google Remarketing, Google AdWords Conversion, Google AdSense, Google Dynamic Remarketing, Remote","","","","",1083000,"",6881aded098a7e000145562f,5099,"❝Electronic Custom Distributors (ECD) is a 60-year-young audio, video, automation, security, wire and telecommunication product distribution company, serving the custom installation industry with an inventory that includes products from more than 100 vendors, with more than 7,000 in-stock items available every day.❞

HOUSTON ✶ DALLAS ✶ AUSTIN

✉sales@ecdcom.com |  ☎800-392-5156",1960,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a31e6701fa9900013598aa/picture,Resideo (resideo.com),"","","","","","","","",Owned,"","","","29,952","",May 2025,1275 Profit Dr,Electronic Components - 3679,"","Electronic Custom Distributors, Inc.","","","",100%,"","","","","",Dallas,"","",""
Air Mac Inc.,Air Mac,Cold,"Ultra Enriched Leads, power choosers",29,machinery,lpatterson@claritypower.org,http://www.airmac.com,http://www.linkedin.com/company/air-mac-inc.,https://www.facebook.com/airmacpneumaticsolutions/,https://twitter.com/AirMac_365,8901 Directors Row,Dallas,Texas,United States,75247,"8901 Directors Row, Dallas, Texas, United States, 75247","pneumatic conveying packages, repairs amp overhauls, new equipment sales, compressor services, blower packages, repairs overhauls, service, air compressors, rotating equipment repairs, gas compression packages, machinery manufacturing, preventative maintenance, overhauls, remote monitoring, energy-efficient solutions, pre-engineered solutions, environmental, dryers, industrial pneumatic solutions, filtration, pharmaceutical, wellhead enhancement compressors, vapor recovery units, high-pressure compressors, food & beverage, flash gas compressors, custom design, custom-built gas compression, rotary screw compressors, refurbishments, industrial air systems, water & wastewater treatment, instrument air skids, wood & plastics, blowers, coal seam gas products, vrus (vapor recovery units), portable air compressors, vacuum pumps, gas generators, co2 gas compressors, manufacturing, oil & gas, gas compression, air system audits, reciprocating compressors, air treatment equipment, power generation, b2b, consulting, services, pharmaceuticals, medical, food & beverages, consumer goods, consumers, mechanical or industrial engineering, oil & energy",'+1 214-879-1010,"Outlook, reCAPTCHA, Mobile Friendly, WordPress.org, Bootstrap Framework, Google Font API, CallRail, Google Tag Manager, SAP, Android, Remote","","","","","","",6884c3f28655ee0001a22711,3533,"Air Mac sells, services, installs and supports a broad range of products, including industrial compressed air and vacuum products used in the compression, treatment and delivery of compressed air and gases.

We offer a very unique blend of capabilities in service, engineering and installation. In today's climate of reduced in-house resources our customers recognize the value of these services and depend on us to help meet their needs.",1991,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/688457b5cbb5d20001ff105a/picture,"","","","","","","","","",Leased,"",TX,"","16,042","",Oct 2006,8901 Directors Row,"Plumbing, Heat, Air-Cond - 1711","","Jon Birnbrey, Rockbrook Equity","","","",100%,"","","",Oct 2009,"",Dallas,"","",""
iKids Pediatric Dentistry,iKids Pediatric Dentistry,Cold,"Fort Worth Locations, Ultra Enriched Leads, power choosers",50,medical practice,lpatterson@claritypower.org,http://www.ikidsdental.com,http://www.linkedin.com/company/ikids-pediatric-dentistry-and-orthodontics,https://www.facebook.com/iKidspediatricdentistry,https://twitter.com/iKidsDental,3807 E Broad St,Mansfield,Texas,United States,76063,"3807 E Broad St, Mansfield, Texas, United States, 76063","medical practices, sedation dentistry, dental insurance coordination, pediatric dental emergencies, dental sealants, oral surgery, comprehensive pediatric dental care, dental care, braces, fluoride treatments, fillings, dental health education, root canals, pediatric dentistry, frenectomies, dental implants, special needs dentistry, dental crowns, child-focused dental environment, dental care for medically complex children, orthodontic treatment, dental sedation, sedation options for kids, dental care for developmental challenges, preventive dental care, child-friendly environment, child dental anxiety, digital radiography, dental services, emergency dental care, invisalign, pediatric dental services, community dental clinics, dental team, orthodontics, sealants, preventive care, dental exams and cleanings, family dentistry, dental practice management, child oral health, cleanings, dental emergencies, dental care for special needs children, dental technology, patient comfort, family dental care, dental x-rays, dental health education for parents, dental care for behavioral challenges, dental exams, custom mouthguards, restorative dental care, dental treatment for tongue and lip ties, restorative treatments, special needs care, b2c, services, hospital & health care",'+1 972-787-1580,"Gmail, Google Apps, YouTube, Google Dynamic Remarketing, Mobile Friendly, Google Analytics, Facebook Login (Connect), Google Maps, Facebook Widget, CallRail, Google Maps (Non Paid Users), WordPress.org, Facebook Custom Audiences, Linkedin Widget, Shutterstock, Apache, DoubleClick Conversion, reCAPTCHA, Google Font API, Quantcast, Typekit, Yandex Metrica, DoubleClick, Google Tag Manager, Nginx","","","","",2752000,"",681dd7710829bd00012a824a,8021,"iKids Pediatric Dentistry and Orthodontics has dedicated the past ten years in serving the pediatric oral health needs in Texas. Following the vision of the founder, and CEO, Dr. Randy Hamilton, DDS, iKids Pediatric Dentistry and Orthodontics is nationally recognized for their customer service and prides itself in giving ALL children the best quality of care by creating a safe, fun-filled environment while utilizing cutting edge technology from a highly trained team of specialists/generalist and support staff. With over 15 award-winning locations, across the Dallas/DFW metroplex, iKids Pediatric Dentistry and Orthodontics will continue to strive for excellence in creating a premier dental home for all those entrusted in their care.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6894808e449aad000183f75d/picture,"","","","","","","","","",Leased,"",TX,$21.00,"3,617",Asking Rent,Jan 2015,7451 N Beach St,Dentists - 8021,"","Triangle Property Management, Inc","","","",13.7%,Jan 2015,"","",Jul 2014,"",Fort Worth,"","",""
Sunbelt Supply LLC,Sunbelt Supply,Cold,"Ultra Enriched Leads, power choosers",24,logistics & supply chain,lpatterson@claritypower.org,http://www.sunbeltsupplyllc.com,http://www.linkedin.com/company/sunbelt-supply-llc,https://www.facebook.com/145684475453835,"","",Round Rock,Texas,United States,"","Round Rock, Texas, United States","supplier for fasteners, electronic & industrial hardware, computer components, consumables, safety equipment, labeling & clean room supplies, transportation, logistics, supply chain & storage, global logistics, oil and gas, tailored procurement, cost reduction strategies, military and defense, product sourcing, rittal products, custom finishes & treatments, engineering support, manufacturing support, on-time delivery, on-demand delivery, seamless procurement, rittal products (pixus), vendor coordination, custom kitting, inventory forecasting, industry-specific inventory, specialized industrial supplies, logistics support, cleanroom supplies, aerospace, supply chain logistics, cleanroom essentials, safety equipment ppe, industrial supplies, cost-effective solutions, electrical equipment, vendor services, electronic hardware, supply chain consulting, electronic components, global distributor, engineering design services, inventory management, supply chain optimization, hazardous materials handling, custom finishes and treatments, manufacturing, auto-replenishment programs, cleanroom and semiconductor, procurement solutions, b2b, e-commerce, consulting, services, logistics & supply chain, oil & energy, aviation & aerospace, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+1 512-244-7535,"Outlook, Microsoft Office 365, Amazon AWS, Mobile Friendly, Remote","","","","","","",68523c70f2f1570001381cfb,5099,"Sunbelt Supply specializes in Inventory Management, Logistical Solutions, Component Kitting, Warehouse Stocking and Engineering Design & Support. We are a wholesale distributor of many types of products and provide engineering support to our clients. Sunbelt is committed to supplying our customers with quality products, on- time delivery, competitive pricing, vendor management systems & services, vendor stocking programs and engineering support.",1980,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68872e4c5cf5e10001586dbc/picture,"","","","","","","","","",Leased,"",TX,$8.33 (Est.),"8,180",Starting Rent,Oct 2014,4850 Wright Rd,"Advertising, NEC - 7319","",Mapletree Investments Pte Ltd,"","","",19.2%,"","","",Oct 2014,"",Stafford,"","",""
